,static_hit_rate,static_hit_rate,static_hit_rate,static_hit_rate,walkforward_hit_rate,walkforward_hit_rate,walkforward_hit_rate,walkforward_hit_rate,degradation,degradation
,mean,std,min,max,mean,std,min,max,mean,std
ticker,,,,,,,,,,
APO,62.4,5.8,51.4,65.7,51.3,2.6,48.6,56.5,11.1,5.5
ARCC,52.4,8.2,41.7,60.4,60.6,2.9,57.0,65.5,-8.2,9.1
BIZD,66.4,3.7,61.3,71.0,58.9,4.0,53.9,62.6,7.5,4.9
BKLN,71.0,22.5,20.0,80.0,65.0,3.1,60.1,69.6,6.0,21.4
BX,56.2,2.8,50.0,59.1,61.3,2.3,57.4,64.5,-5.1,3.5
CG,44.6,5.6,37.5,53.1,48.5,2.1,46.0,50.8,-3.9,5.0
HYG,58.4,7.3,46.7,64.4,62.7,4.6,52.4,64.9,-4.3,9.0
IEF,50.3,1.4,47.9,52.1,51.9,1.7,49.0,54.5,-1.6,2.4
JNK,57.1,10.3,37.2,65.1,61.3,4.7,50.8,65.0,-4.1,12.1
KKR,56.4,7.2,45.9,64.9,55.7,1.5,52.7,57.5,0.7,8.2
PSP,48.1,3.9,43.5,52.2,57.6,2.9,53.4,62.3,-9.5,6.1
SPY,52.7,10.6,39.6,62.5,63.4,3.3,57.5,68.5,-10.7,11.6
SRLN,82.4,7.4,66.7,86.7,69.2,2.1,66.4,72.6,13.2,7.1
VBR,50.6,7.0,39.6,60.4,58.5,2.1,55.0,60.5,-7.9,8.4
